S.No,altitude,velocity,wind,thrust_adjustment
1,45.0,0.0,0.7047826833399063,41.970000000000006
2,45.0,0.6750000000000002,0.71813381027661,42.17250000000001
3,44.96625,1.3432500000000003,0.7212149176013922,42.356100000000005
4,44.8990875,2.00431125,0.560236026094015,42.520837125
5,44.7988719375,2.65775445,0.7212739520636005,42.666762303750005
6,44.665984215,3.3031599845625004,0.8971132076220756,42.79394010286875
7,44.50082621577187,3.9401181479418756,0.6834617106661873,42.9024485522685
8,44.30382030837478,4.568229359699035,0.6663234811678558,42.992378962097106
9,44.07540884038983,5.187104370727666,0.3224776331378712,43.06383573141322
10,43.81605362185344,5.796364459626237,0.5264362478755343,43.11693614881459
11,43.52623539887213,6.395641619357776,0.46429871519032967,43.151810185243406
12,43.20645331790424,6.984578734147281,0.38177931651264213,43.168600279196305
13,42.85722438119688,7.562829746574371,0.2444450773707016,43.16746111457075
14,42.47908289386816,8.13005981482658,0.3632885593099389,43.14855939138206
15,42.07257990312683,8.685945460086337,0.25689166461064894,43.112073589589315
16,41.63828263012251,9.230174704032377,0.29790995812679494,43.05819372627097
17,41.17677389492089,9.76244719644389,0.0,42.987121106393616
18,40.6886515350987,10.282474332903265,0.0,42.89906806742033
19,40.174527818453534,10.789979362600713,0.0,42.79425771800698
20,39.6350288503235,11.284697486251508,0.0,42.6729236710372
21,39.070793976010926,11.766375944143846,0.0,42.53530977124862
22,38.48247517880373,12.234774094342571,0.0,42.38166981770464
23,37.870736474086605,12.689663481081201,0.0,42.212267281367666
24,37.236253300032544,13.130827893381689,0.0,42.027375018030774
25,36.57971190536346,13.55806341394836,0.0,41.82727497686624
26,35.90180873466604,13.971178458389328,0.0,41.61225790484982
27,35.20324981174657,14.369993804825425,0.0,41.38262304732091
28,34.4847501215053,14.75434261395337,0.0,41.13867784493866
29,33.74703299080763,15.124070439636416,0.0,40.88073762729474
30,32.99082946882581,15.479035230102166,0.0,40.609125303443555
31,32.2168777073207,15.819107319833531,0.0,40.324171049610406
32,31.42592234132902,16.144169412245006,0.0,40.02621199433801
33,30.61871387071677,16.454116553242493,0.0,39.71559190133113
34,29.79600804305465,16.74885609577082,0.0,39.39266085025857
35,28.958565238266107,17.02830765545893,0.0,39.057774915770736
36,28.107149855493162,17.292403057478335,0.0,38.71129584499008
37,27.242529702619244,17.54108627473595,0.0,38.35359073373041
38,26.365475388882448,17.774313357527877,0.0,37.98503170169959
39,25.476759721006054,17.992052354785834,0.0,37.60599556693878
40,24.577157103266764,18.194283227053067,0.0,37.2168635197493
41,23.66744294191411,18.380997751331538,0.0,36.81802079635652
42,22.748393054347535,18.552199417946934,0.0,36.40985635255785
43,21.820783083450188,18.707903319582677,0.0,35.9927625375999
44,20.885387917471053,18.848136032638603,0.0,35.56713476852711
45,19.942981115839125,18.97293549107428,0.0,35.13337120524185
46,18.99433434128541,19.082350852901126,0.0,34.691872426513044
47,18.04021679864035,19.176442359491396,0.0,34.2430411071676
48,17.08139468066578,19.255281187876086,0.0,33.787281696695715
49,16.118630621271976,19.31894929620731,0.0,33.32500009949818
50,15.15268315646161,19.367539262564318,0.0,32.856603357000104
51,14.184306193333393,19.4011541172856,0.0,32.38249933185238
52,13.214248487469114,19.419907169012745,0.0,31.903096394438382
53,12.243253129018477,19.423921824634654,0.0,31.418803111899635
54,11.272057037786745,19.413331403323586,0.0,30.93002793989045
55,10.301390467620566,19.388278944857152,0.0,30.437178917267428
56,9.331976520377708,19.348917012422888,0.0,29.94066336391572
57,8.364530669756563,19.295407490104324,0.0,29.44088758190958
58,7.3997602952513475,19.22792137524963,0.0,28.938256560200564
59,6.438364226488866,19.146638565925905,0.0,28.433173683022204
60,5.48103229819257,19.05174764366398,0.0,27.92604044219548
61,4.528444916009371,18.943445651700227,0.0,27.417256153514753
62,3.5812726334243594,18.821937868923364,0.0,26.90721767738919
63,2.6401757399781913,18.687437579735494,0.0,26.396319143909743
64,1.7058038609914166,18.54016584003781,0.0,25.88495168250705
65,0.778795568989526,18.380351239552304,0.0,25.373503156360453
66,0.0,0.0,0.0,19.62
67,0.0,0.0,0.0,19.62
68,0.0,0.0,0.0,19.62
69,0.0,0.0,0.0,19.62
70,0.0,0.0,0.0,19.62
71,0.0,0.0,0.0,19.62
72,0.0,0.0,0.0,19.62
73,0.0,0.0,0.0,19.62
74,0.0,0.0,0.0,19.62
75,0.0,0.0,0.0,19.62
76,0.0,0.0,0.0,19.62
77,0.0,0.0,0.0,19.62
78,0.0,0.0,0.0,19.62
79,0.0,0.0,0.0,19.62
80,0.0,0.0,0.0,19.62
81,0.0,0.0,0.0,19.62
82,0.0,0.0,0.0,19.62
83,0.0,0.0,0.0,19.62
84,0.0,0.0,0.0,19.62
85,0.0,0.0,0.0,19.62
86,0.0,0.0,0.0,19.62
87,0.0,0.0,0.0,19.62
88,0.0,0.0,0.0,19.62
89,0.0,0.0,0.0,19.62
90,0.0,0.0,0.0,19.62
91,0.0,0.0,0.0,19.62
92,0.0,0.0,0.0,19.62
93,0.0,0.0,0.20056815316274262,19.62
94,0.0,0.0,0.3440139591781187,19.62
95,0.0,0.0,0.4771486721555932,19.62
96,0.0,0.0,0.6507350426968666,19.62
97,0.0,0.0,0.947985046056274,19.62
98,0.0,0.0,0.7562741436964513,19.62
99,0.0,0.0,0.6957092735135183,19.62
100,0.0,0.0,0.7351542705650048,19.62
101,0.0,0.0,0.6204349007117348,19.62
102,0.0,0.0,0.6021405187096064,19.62
103,0.0,0.0,0.6641525286345907,19.62
104,0.0,0.0,0.8372958777821291,19.62
105,0.0,0.0,0.6508378156609618,19.62
106,0.0,0.0,0.5627336820448368,19.62
107,0.0,0.0,0.5670231528979934,19.62
108,0.0,0.0,0.2529872051392917,19.62
109,0.0,0.0,0.27030604012030957,19.62
110,0.0,0.0,0.1853377379504079,19.62
111,0.0,0.0,0.0,19.62
112,0.0,0.0,0.1542627956490727,19.62
113,0.0,0.0,0.0,19.62
114,0.0,0.0,0.11978272951981661,19.62
115,0.0,0.0,0.21359053587070873,19.62
116,0.0,0.0,0.32261303745961933,19.62
117,0.0,0.0,0.06686361822777093,19.62
118,0.0,0.0,0.01994850697828396,19.62
119,0.0,0.0,0.05025232558847509,19.62
120,0.0,0.0,0.14535725371544936,19.62
121,0.0,0.0,0.2990037520691726,19.62
122,0.0,0.0,0.15601232871560206,19.62
123,0.0,0.0,0.24785141451179415,19.62
124,0.0,0.0,0.40843370703611215,19.62
125,0.0,0.0,0.2768922045141946,19.62
126,0.0,0.0,0.5456100350243009,19.62
127,0.0,0.0,0.2475340176234768,19.62
128,0.0,0.0,0.5613277386564877,19.62
129,0.0,0.0,0.36867697611371886,19.62
130,0.0,0.0,0.19137166769695615,19.62
131,0.0,0.0,0.1664486442253493,19.62
132,0.0,0.0,0.2412628808453247,19.62
133,0.0,0.0,0.2795389666390297,19.62
134,0.0,0.0,0.3624836941481796,19.62
135,0.0,0.0,0.31945392668710865,19.62
136,0.0,0.0,0.2327923156589604,19.62
137,0.0,0.0,0.1542504824471145,19.62
